"species"	"decimalLongitude"	"decimalLatitude"
"Hepatica nobilis"	10.909159	59.077701
"Hepatica nobilis"	10.485468	63.402068
"Hepatica nobilis"	8.991992	58.741325
"Hepatica nobilis"	10.067186	59.727563
"Hepatica nobilis"	9.080917	59.422655
"Hepatica nobilis"	11.103446	60.712875
"Hepatica nobilis"	8.749642	58.42335
"Hepatica nobilis"	11.581826	59.369929
"Hepatica nobilis"	10.933503	59.607101
"Hepatica nobilis"	8.017635	59.466204
"Hepatica nobilis"	10.908638	59.077798
"Hepatica nobilis"	10.471742	63.390873
"Hepatica nobilis"	10.470898	61.117669
"Hepatica nobilis"	11.120802	59.164372
"Hepatica nobilis"	10.953473	59.962497
"Hepatica nobilis"	10.287686	59.830144
"Hepatica nobilis"	10.306066	59.065013
"Hepatica nobilis"	11.22542	59.987813
"Hepatica nobilis"	11.112196	59.16811
"Hepatica nobilis"	11.112277	59.1684
"Hepatica nobilis"	10.788569	59.317149
"Hepatica nobilis"	10.804325	59.352139
"Hepatica nobilis"	10.215749	59.436553
"Hepatica nobilis"	10.954173	59.336011
"Hepatica nobilis"	9.367901	59.413971
"Hepatica nobilis"	10.911063	59.071362
"Hepatica nobilis"	10.910659	59.071491
"Hepatica nobilis"	10.804263	59.352285
"Hepatica nobilis"	9.865532	59.329652
"Hepatica nobilis"	11.120847	59.164081
"Hepatica nobilis"	9.801734	59.075277
"Hepatica nobilis"	10.90915	59.077761
"Hepatica nobilis"	10.908907	59.077918
"Hepatica nobilis"	10.908943	59.077738
"Hepatica nobilis"	10.816345	59.835823
"Hepatica nobilis"	10.95889	59.962969
"Hepatica nobilis"	5.213876	59.165914
"Hepatica nobilis"	9.819035	59.169717
"Hepatica nobilis"	9.621586	60.030089
"Hepatica nobilis"	9.661058	59.213554
"Hepatica nobilis"	10.908961	59.077849
"Hepatica nobilis"	10.602564	59.888602
"Hepatica nobilis"	11.112223	59.168948
"Hepatica nobilis"	9.952857	59.146552
"Hepatica nobilis"	10.908701	59.077452
"Hepatica nobilis"	10.909051	59.077881
"Hepatica nobilis"	10.912033	59.071778
"Hepatica nobilis"	10.804316	59.352079
"Hepatica nobilis"	9.637073	60.028914
"Hepatica nobilis"	11.11225	59.168442
"Hepatica nobilis"	11.11225	59.169109
"Hepatica nobilis"	11.112259	59.168322
"Hepatica nobilis"	10.908584	59.077812
"Hepatica nobilis"	9.632258	60.033468
"Hepatica nobilis"	9.292245	59.388867
"Hepatica nobilis"	9.366042	59.414872
"Hepatica nobilis"	10.699124	59.321632
"Hepatica nobilis"	9.367874	59.41388
"Hepatica nobilis"	10.738506	59.895136
"Hepatica nobilis"	10.191225	59.404032
"Hepatica nobilis"	9.675269	59.201745
"Hepatica nobilis"	11.271063	63.758821
"Hepatica nobilis"	10.692198	59.913199
"Hepatica nobilis"	10.218112	59.438019
"Hepatica nobilis"	10.127481	59.321274
"Hepatica nobilis"	10.297235	60.093522
"Hepatica nobilis"	9.418189	60.041764
"Hepatica nobilis"	8.014913	59.457426
"Hepatica nobilis"	10.15567	59.474897
"Hepatica nobilis"	10.300433	59.489576
"Hepatica nobilis"	10.888093	59.927616
"Hepatica nobilis"	10.303128	60.124134
"Hepatica nobilis"	10.910991	59.071228
"Hepatica nobilis"	10.18049	63.433198
"Hepatica nobilis"	9.06914	58.705955
"Hepatica nobilis"	9.80928	59.699076
"Hepatica nobilis"	10.362965	60.886114
"Hepatica nobilis"	10.429135	59.433008
"Hepatica nobilis"	10.061751	59.138083
"Hepatica nobilis"	11.070254	59.224923
"Hepatica nobilis"	10.510495	59.98011
"Hepatica nobilis"	9.748347	58.992879
"Hepatica nobilis"	10.671168	59.928255
"Hepatica nobilis"	10.909114	59.077632
"Hepatica nobilis"	10.907793	59.077909
"Hepatica nobilis"	10.489547	63.388841
"Hepatica nobilis"	9.368	59.413921
"Hepatica nobilis"	10.362965	60.886114
"Hepatica nobilis"	10.601333	59.718953
"Hepatica nobilis"	10.9573	59.038099
"Hepatica nobilis"	8.020518	59.467258
"Hepatica nobilis"	10.091333	63.537966
"Hepatica nobilis"	10.907982	59.077918
"Hepatica nobilis"	10.907704	59.077872
"Hepatica nobilis"	10.485846	63.404293
"Hepatica nobilis"	10.936917	59.971323
"Hepatica nobilis"	10.976299	59.286101
"Hepatica nobilis"	10.897256	59.92975
"Hepatica nobilis"	10.046722	63.491543
"Hepatica nobilis"	10.427311	59.940132
"Hepatica nobilis"	10.498135	59.795671
"Hepatica nobilis"	9.115035	60.570687
"Hepatica nobilis"	9.361721	59.413445
"Hepatica nobilis"	9.366608	59.413834
"Hepatica nobilis"	10.803697	59.675399
"Hepatica nobilis"	10.976541	59.285748
